"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: nbRows","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,142082.048000,NaN,"us/op",,100000,true,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,400,2259198.935040,3808.000862,"us/op",,-1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,2202009.600000,NaN,"us/op",,-1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,2256535.552000,NaN,"us/op",,-1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,2298478.592000,NaN,"us/op",,-1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,2302672.896000,NaN,"us/op",,-1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,2319366.225920,NaN,"us/op",,-1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,2327838.720000,NaN,"us/op",,-1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,2327838.720000,NaN,"us/op",,-1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p1.00","sample",1,1,2327838.720000,NaN,"us/op",,-1,false,64,false,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv","sample",1,400,2497917.747200,13601.667371,"us/op",,-1,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.00","sample",1,1,2390753.280000,NaN,"us/op",,-1,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.50","sample",1,1,2483027.968000,NaN,"us/op",,-1,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.90","sample",1,1,2558525.440000,NaN,"us/op",,-1,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.95","sample",1,1,2787115.008000,NaN,"us/op",,-1,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.99","sample",1,1,2805989.376000,NaN,"us/op",,-1,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.999","sample",1,1,2810183.680000,NaN,"us/op",,-1,false,64,true,
"org.simpleflatmapper.JacksonCsvParserBenchmark.mapCsv:mapCsv·p0.9999","sample",1,1,2810183.680000,NaN,"us/op",,-1,false,64,true,
