"Benchmark","Percentile","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"SfmCsvParserBenchmark.parseCsvIterate","p0.9999","sample",1,1,1633.681408,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p1.00","sample",1,1,1633.681408,NaN,"ms/op",4,false,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","avgt","sample",1,705,952.681122,16.309435,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.00","sample",1,1,784.334848,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.50","sample",1,1,927.989760,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.90","sample",1,1,1132.462080,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.95","sample",1,1,1201.668096,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.99","sample",1,1,1383.617004,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.999","sample",1,1,1543.503872,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.9999","sample",1,1,1543.503872,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","p1.00","sample",1,1,1543.503872,NaN,"ms/op",4,true,64,false,false
"SfmCsvParserBenchmark.parseCsvIterate","avgt","sample",1,505,1063.881057,18.650712,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.00","sample",1,1,914.358272,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.50","sample",1,1,1041.235968,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.90","sample",1,1,1177.341133,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.95","sample",1,1,1224.317338,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.99","sample",1,1,1733.421957,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.999","sample",1,1,2021.654528,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p0.9999","sample",1,1,2021.654528,NaN,"ms/op",4,true,64,true,false
"SfmCsvParserBenchmark.parseCsvIterate","p1.00","sample",1,1,2021.654528,NaN,"ms/op",4,true,64,true,false
"UnivocityConcurrentCsvParserBenchmark.parseCsv","avgt","sample",1,662,1001.741717,2.400354,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.00","sample",1,1,982.515712,NaN,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.50","sample",1,1,996.671488,NaN,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1017.118720,NaN,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.95","sample",1,1,1037.041664,NaN,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.99","sample",1,1,1090.519040,NaN,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.999","sample",1,1,1159.725056,NaN,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,1159.725056,NaN,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p1.00","sample",1,1,1159.725056,NaN,"ms/op",,,,false,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","avgt","sample",1,400,1428.307313,8.001510,"ms/op",,,,true,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1398.800384,NaN,"ms/op",,,,true,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1413.480448,NaN,"ms/op",,,,true,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1457.310925,NaN,"ms/op",,,,true,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.95","sample",1,1,1530.816102,NaN,"ms/op",,,,true,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.99","sample",1,1,1669.144248,NaN,"ms/op",,,,true,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.999","sample",1,1,1767.899136,NaN,"ms/op",,,,true,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,1767.899136,NaN,"ms/op",,,,true,
"UnivocityConcurrentCsvParserBenchmark.parseCsv","p1.00","sample",1,1,1767.899136,NaN,"ms/op",,,,true,
"UnivocityCsvParserBenchmark.parseCsv","avgt","sample",1,400,1169.261855,3.580105,"ms/op",,false,64,false,
"UnivocityCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1147.142144,NaN,"ms/op",,false,64,false,
"UnivocityCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1163.919360,NaN,"ms/op",,false,64,false,
"UnivocityCsvParserBenchmark.parseCsv","p0.90","sample",1,1,1189.085184,NaN,"ms/op",,false,64,false,
"UnivocityCsvParserBenchmark.parseCsv","p0.95","sample",1,1,1201.668096,NaN,"ms/op",,false,64,false,
"UnivocityCsvParserBenchmark.parseCsv","p0.99","sample",1,1,1280.982385,NaN,"ms/op",,false,64,false,
"UnivocityCsvParserBenchmark.parseCsv","p0.999","sample",1,1,1350.565888,NaN,"ms/op",,false,64,false,
"UnivocityCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,1350.565888,NaN,"ms/op",,false,64,false,
"UnivocityCsvParserBenchmark.parseCsv","p1.00","sample",1,1,1350.565888,NaN,"ms/op",,false,64,false,
"UnivocityCsvParserBenchmark.parseCsv","avgt","sample",1,400,1969.660887,5.370012,"ms/op",,false,64,true,
"UnivocityCsvParserBenchmark.parseCsv","p0.00","sample",1,1,1925.185536,NaN,"ms/op",,false,64,true,
"UnivocityCsvParserBenchmark.parseCsv","p0.50","sample",1,1,1971.322880,NaN,"ms/op",,false,64,true,
"UnivocityCsvParserBenchmark.parseCsv","p0.90","sample",1,1,2006.974464,NaN,"ms/op",,false,64,true,
"UnivocityCsvParserBenchmark.parseCsv","p0.95","sample",1,1,2021.654528,NaN,"ms/op",,false,64,true,
"UnivocityCsvParserBenchmark.parseCsv","p0.99","sample",1,1,2088.721449,NaN,"ms/op",,false,64,true,
"UnivocityCsvParserBenchmark.parseCsv","p0.999","sample",1,1,2151.677952,NaN,"ms/op",,false,64,true,
"UnivocityCsvParserBenchmark.parseCsv","p0.9999","sample",1,1,2151.677952,NaN,"ms/op",,false,64,true,
